accX,accY,accZ
-1524,1256,16968
-1492,1216,16848
-1508,1236,16984
-1560,1280,16780
-1552,1292,16792
-1576,1296,16868
-1528,1340,16968
-1524,1244,16924
-1456,1264,16948
-1484,1260,16984
-1404,1276,16928
-1504,1268,16984
-1524,1260,16920
-1520,1332,16988
-1516,1268,16896
-1568,1244,16948
-1532,1292,16964
-1484,1216,16912
-1436,1276,16848
-1536,1276,16904
-1476,1244,17032
-1508,1308,16952
-1516,1320,16948
-1516,1284,16976
-1524,1248,16912
-1528,1308,17000
-1508,1264,16936
-1508,1268,16904
-1484,1256,16996
-1524,1248,16904
-1536,1308,17036
-1548,1260,17008
-1492,1260,16924
-1428,1256,17052
-1480,1296,16916
-1520,1228,16940
-1540,1288,16852
-1520,1288,16892
-1500,1176,16968
-1584,1268,17008
-1504,1320,16940
-1524,1304,16952
-1572,1244,16988
-1504,1252,17080
-1648,1256,16980
-1588,1212,16904
-1564,1236,16896
-1532,1244,16996
-1528,1292,16976
-1536,1224,17044
-1504,1232,17000
-1532,1304,16916
-1544,1228,16952
-1592,1252,16952
-1472,1312,16852
-1544,1284,16872
-1468,1268,16880
-1496,1264,16912
-1488,1256,16908
-1508,1328,16936
-1536,1264,16952
-1524,1244,16996
-1520,1272,16968
-1516,1192,17064
-1588,1240,17020
-1524,1248,16992
-1512,1244,16932
-1600,1284,16996
-1516,1252,16952
-1440,1236,16980
-1484,1296,17012
-1464,1324,16820
-1512,1296,16960
-1464,1348,17060
-1440,1232,16928
-1524,1252,16932
-1500,1236,17012
-1548,1304,16948
-1560,1260,16988
-1556,1228,16932
-1512,1300,16932
-1508,1264,16896
-1496,1164,17056
-1472,1256,16972
-1552,1296,16964
-1508,1216,16968
-1540,1272,16972
-1528,1228,17000
-1488,1248,16980
-1564,1272,16964
-1496,1280,16896
-1532,1264,17012
-1532,1272,16964
-1536,1228,17008
-1480,1280,16996
-1504,1264,16992
-1492,1252,16984
-1456,1252,16996
-1580,1276,16968
-1496,1256,16876
-1476,1280,16952
-1504,1324,16924
-1528,1264,17040
-1444,1272,16968
-1556,1252,17048
-1528,1304,16944
-1540,1252,16984
-1508,1216,16856
-1484,1292,17008
-1560,1324,16968
-1556,1204,17024
-1580,1188,17016
-1556,1312,16956
-1476,1304,16960
-1520,1264,16924
-1528,1284,16960
-1520,1292,16924
-1556,1256,17040
-1468,1292,17040
-1516,1296,17016
-1472,1284,16920
-1496,1296,16868
-1516,1260,16944
-1516,1300,16964
-1580,1240,16992
-1520,1300,16888
-1480,1292,17028
-1532,1292,16940
-1524,1244,17000
-1572,1288,17000
-1492,1224,16964
-1540,1248,16868
-1624,1316,16976
-1504,1328,16952
-1604,1248,16940
-1536,1216,17008
-1524,1260,17008
-1560,1316,16924
-1548,1288,16844
-1500,1204,17032
-1560,1300,16956
-1480,1240,17008
-1460,1300,16964
-1536,1284,16924
-1504,1268,16928
-1556,1332,17008
-1516,1212,16856
-1480,1244,16928
-1592,1244,17064
-1512,1296,16956
-1604,1244,17000
-1684,1164,17088
-1660,1224,17096
-1620,1272,16908
-1596,1260,16900
-1524,1280,16932
-1524,1220,16984
-1560,1276,16912
-1504,1224,17020
-1500,1296,16952
-1512,1212,16968
-1508,1312,16960
-1552,1244,16928
-1460,1276,16996
-1528,1272,16976
-1560,1240,16892
-1500,1248,16984
-1524,1280,16920
-1468,1268,16900
-1512,1216,16980
-1620,1296,16920
-1536,1236,17004
-1564,1308,16920
-1500,1360,17040
-1572,1276,16916
-1496,1240,16904
-1540,1252,17044
-1556,1284,16908
-1496,1264,16960
-1508,1240,16980
-1508,1264,16960
-1516,1228,17040
-1540,1256,17016
-1496,1320,16944
-1556,1244,16968
-1500,1256,16960
-1540,1324,16880
-1540,1316,16928
-1500,1252,16892
-1476,1264,16928
-1532,1296,16912
-1512,1268,16972
-1532,1216,17060
-1568,1276,16952
-1500,1280,17048
-1604,1284,17048
-1532,1324,16976
-1560,1304,16928
-1536,1256,16996
-1588,1212,16908
-1436,1268,16984
-1592,1260,17004
-1544,1280,16916
-1540,1264,16924
-1492,1236,17028
-1496,1260,16972
-1508,1280,16896
-1536,1272,16996
-1540,1312,16896
-1500,1304,16872
-1504,1228,16972
-1548,1340,16960
-1500,1292,16952
-1536,1204,16972
-1564,1300,16916
-1452,1260,16904
-1552,1232,16928
-1528,1256,16800
-1528,1296,16944
-1500,1304,16928
-1512,1296,16896
-1508,1312,16980
-1520,1264,17024
-1528,1300,16932
-1512,1284,16964
-1512,1232,16920
-1548,1264,16944
-1504,1244,16884
-1560,1244,17016
-1576,1324,16944
-1548,1308,16908
-1576,1272,16936
-1572,1324,16984
-1560,1208,17064
-1604,1264,16884
-1564,1228,16936
-1532,1284,16928
-1508,1260,17012
-1480,1264,17028
-1476,1276,16940
-1476,1276,16876
-1528,1264,16988
-1520,1280,16888
-1564,1272,16876
-1552,1288,16872
-1524,1276,16916
-1536,1300,16948
-1540,1272,16876
-1496,1236,16880
-1548,1268,16868
-1512,1252,16936
-1484,1228,16972
-1536,1264,16980
-1532,1260,16840
-1472,1320,17024
-1520,1264,17024
-1540,1232,17044
-1608,1236,16952
-1504,1292,16996
-1560,1280,17028
-1592,1224,16952
-1488,1264,16972
-1516,1276,16996
-1532,1208,16912
-1508,1288,16948
-1460,1208,16972
-1536,1244,16988
-1508,1316,16984
-1548,1288,17104
-1508,1280,16960
-1484,1268,16904
-1520,1300,16972
-1484,1280,17004
-1520,1256,17004
-1476,1296,16968
-1528,1196,16916
-1464,1308,17088
-1476,1324,17044
-1504,1280,17004
-1424,1264,16944
-1496,1224,16884
-1564,1224,16848
-1536,1288,16892
-1540,1272,17012
-1528,1304,16920
-1476,1272,16860
-1556,1288,16864
-1548,1236,16988
-1464,1272,16964
-1508,1244,16856
-1532,1284,16872
-1536,1284,16940
-1548,1252,16876
-1484,1312,16928
-1508,1264,16996
-1496,1320,17080
-1540,1232,16904
-1532,1216,16908
-1480,1296,16972
-1536,1240,17040
-1556,1276,17024
-1512,1292,16928
-1572,1216,16944
-1536,1324,16992
-1508,1300,16964
-1552,1264,16992
-1560,1256,16840
-1460,1256,16952
-1564,1244,16928
-1488,1272,16936
-1596,1252,16964
-1444,1260,16928
-1464,1304,17020
-1460,1340,16948
-1456,1240,16896
-1468,1300,16884
-1504,1248,17012
-1496,1256,17072
-1564,1260,16908
-1444,1212,16816
-1572,1348,16980
-1584,1280,17016
-1504,1284,16988
-1540,1300,17000
-1528,1308,16956
-1520,1256,16972
-1472,1260,16964
-1480,1228,16952
-1516,1296,16912
-1528,1320,16940
-1476,1264,16912
-1496,1324,16924
-1512,1304,16976
-1428,1288,16964
-1544,1212,16884
-1540,1328,16968
-1468,1296,16856
-1480,1336,16924
-1552,1264,16844
-1464,1252,17056
-1524,1284,16924
-1488,1292,16988
-1532,1252,16916
-1480,1300,17028
-1508,1292,16984
-1544,1288,16992
-1484,1296,16980
-1532,1232,17056
-1528,1224,16908
-1540,1228,16880
-1528,1292,16904
-1488,1264,16852
-1440,1296,16940
-1520,1296,16908
-1516,1320,17056
-1460,1296,17100
-1500,1220,16896
-1540,1240,16924
-1512,1256,16940
-1488,1316,16964
-1484,1244,16876
-1504,1308,16952
-1480,1296,17000
-1504,1212,17004
-1484,1300,16984
-1492,1268,16884
-1496,1236,17024
-1540,1304,16964
-1476,1268,17012
-1476,1248,17076
-1492,1324,16944
-1468,1252,16984
-1568,1288,17004
-1540,1328,16972
-1544,1240,16928
-1528,1252,16956
-1504,1172,16936
-1508,1324,17072
-1448,1252,16944
-1488,1196,16900
-1540,1192,16988
-1580,1308,17016
-1540,1264,16944
-1468,1228,16976
-1512,1280,16912
-1548,1320,16948
-1516,1340,17200
-2004,1192,15080
-748,1184,17892
-1364,872,17204
-1280,1304,17152
-1740,1452,16224
-1408,1576,16592
-1268,988,17340
-1324,868,17596
-1544,1184,17016
-1364,1404,16256
-1288,1840,16500
-1288,740,17032
-1128,208,17476
1636,344,16544
-228,720,16060
-1756,536,17300
-3640,1472,12944
-3704,832,18528
-2428,-124,15500
-1544,1060,17360
-1928,1408,15736
-1232,1728,15368
-1384,1084,16792
-1340,820,16980
-1196,772,16904
-1472,388,17636
-1620,280,18124
-1452,448,17116
-1228,844,16684
-1244,644,17136
-1416,440,17448
-1352,648,17248
-1360,964,16684
-1364,1156,16548
-1432,1088,16848
-1352,784,17128
-1880,816,17100
-1448,840,17424
-1392,800,17196
-1420,1012,16788
-1356,1148,16688
-1380,1036,16864
-1372,864,16936
-1356,848,17056
-1276,912,16980
-1288,844,16948
-1344,708,17228
-1052,492,17360
-1260,780,17060
-1404,888,16956
-1288,848,16968
-1240,788,17124
-1184,700,17096
-1336,892,17088
-1248,1024,16788
-1480,1152,16716
-1348,1096,16856
-1356,1032,17124
-1372,1128,16932
-1412,1116,16832
-1360,1132,16668
-1412,1104,16736
-1328,940,16956
-1440,796,17296
-1352,764,17144
-1364,768,17020
-1328,856,16984
-1276,816,17064
-1348,712,17112
-1452,664,17096
-808,560,17052
-1436,776,16608
-1228,864,16688
-1228,664,16964
-1296,520,17208
-1448,412,17216
-1364,656,17160
-1276,708,16928
-1372,704,16884
-1328,656,17004
-1312,528,17080
-1340,516,17140
-1288,560,17080
-1316,552,17016
-1304,600,17028
-1424,564,17116
-1760,-3060,11792
2672,-4228,14020
1340,1324,20676
-692,-808,16460
264,672,16056
-212,1280,16912
28,440,16644
-100,-316,17068
-64,-72,17312
-148,-384,17220
-268,-864,17244
-272,-1316,17204
-332,-1016,17072
-500,-648,17124
-688,-872,17108
-704,-1084,17096
-784,-1184,17264
-472,-1372,16784
-528,-1644,16944
-516,-1764,17000
-496,-1540,17000
-456,-1484,17060
-416,-1400,17048
-552,-1548,17072
-632,-1484,16984
-460,-1552,17064
-344,-1740,17004
-340,-1628,17036
-296,-1480,16972
-368,-1480,17096
-316,-1532,17084
-316,-1584,17016
-216,-1708,17036
-236,-1792,16988
-316,-1668,16968
-336,-1604,17048
-376,-1592,16924
-480,-1560,16964
-392,-1700,17024
-408,-1664,17024
-292,-1832,16976
-324,-1824,16996
-504,-1724,17108
-348,-1740,17064
-204,-1704,16980
-208,-1664,17052
-172,-1744,17008
-152,-1708,17008
0,-1652,16964
-84,-1620,16992
-88,-1868,16900
-140,-1872,16952
-24,-1792,17016
-116,-1876,16996
-152,-1764,17064
-120,-1720,17088
-136,-1732,16968
-132,-1816,17028
-80,-1756,17104
-116,-1712,16944
-188,-1788,16940
-132,-1728,16972
-128,-1788,16988
-156,-1668,17040
-72,-1860,16936
-144,-1916,17164
-212,-1948,16956
-216,-2032,17028
-224,-1980,16976
-196,-1944,17028
-128,-1916,17008
-8,-1936,16964
-124,-1868,16980
-92,-1792,16964
-156,-1764,16940
-220,-1884,17088
-268,-1872,16936
-232,-1876,17040
-276,-1840,17080
-208,-1956,17004
-324,-1972,16916
-328,-2008,16960
-280,-2104,17052
-220,-2072,17004
-192,-2036,17084
-164,-2060,17000
-104,-2060,17012
-92,-1996,16936
-60,-2104,16960
12,-2016,17056
-196,-1972,17108
-232,-1924,17056
-188,-2072,16988
-196,-2096,17092
-208,-2076,16968
-300,-2044,17064
-272,-1952,17124
-340,-1976,17116
-224,-1944,17008
-284,-1968,16972
-320,-1932,16944
-224,-2008,16836
-148,-1948,17072
-160,-1948,16956
-172,-1844,17044
-88,-1796,17076
-184,-1744,16988
-228,-1656,17008
-188,-1820,16952
-264,-1840,17012
-368,-1772,17064
-348,-1756,17140
-348,-1800,16996
-300,-1760,17024
-252,-1836,17020
-224,-1760,16968
-284,-1800,16964
-268,-1824,17008
-184,-1820,16988
-108,-1776,16980
-188,-1872,17156
-112,-1824,17000
-168,-1804,17024
-236,-1880,16956
-320,-1808,17128
-256,-1892,17108
-236,-1932,17056
-316,-1812,17072
-252,-1744,17092
-316,-1776,17060
-292,-1836,16976
-324,-1824,16996
-224,-1896,16952
-240,-1836,17072
-124,-1708,17068
-176,-1832,17004
-164,-1800,17032
-156,-1748,17056
-120,-1760,17008
-124,-1732,16952
-248,-1696,17020
-196,-1668,17012
-220,-1616,17044
-280,-1824,17032
-232,-1764,16992
-424,-1848,17180
-208,-1720,17048
-304,-1776,17076
-264,-1828,17044
-344,-1844,17080
-332,-1832,16912
-252,-1796,16992
-248,-1628,17108
-260,-1552,16908
-152,-1544,17084
-192,-1516,17024
-268,-1492,17112
-224,-1620,17092
-312,-1684,17064
-292,-1744,16968
-396,-1752,16908
-392,-1816,17080
-336,-1864,17056
-340,-1896,17096
-308,-1832,17192
-336,-1676,16968
-288,-1756,17088
-292,-1596,17076
-400,-1544,17060
-264,-1488,17068
-324,-1476,17168
-300,-1540,17068
-376,-1676,16992
-356,-1688,17096
-404,-1720,16956
-456,-1772,17136
-372,-1744,17060
-340,-1928,17028
-236,-1808,17084
-312,-1788,16980
-244,-1732,17112
-204,-1588,17012
-268,-1524,17036
-196,-1460,17032
-300,-1360,17052
-308,-1560,17092
-380,-1556,17096
-428,-1552,17012
-460,-1648,17124
-428,-1616,17064
-396,-1720,17064
-432,-1772,17028
-372,-1732,16900
-384,-1652,17116
-340,-1596,17032
-308,-1572,17148
-320,-1632,17036
-340,-1416,16924
-364,-1492,17124
-392,-1400,17084
-416,-1480,17092
-436,-1532,17116
-384,-1640,17004
-388,-1660,17128
-452,-1640,17068
-396,-1712,17076
-372,-1640,17088
-312,-1684,16976
-296,-1680,17036
-292,-1640,17040
-328,-1564,17008
-304,-1504,16972
-296,-1400,17020
-404,-1444,17140
-472,-1432,17044
-352,-1428,17124
-428,-1648,16932
-516,-1576,17108
-452,-1784,17052
-576,-1632,17048
-504,-1708,17016
-456,-1560,17072
-484,-1480,17032
-456,-1520,17112
-368,-1412,17056
-336,-1368,17096
-296,-1372,17100
-316,-1356,17052
-440,-1248,17116
-376,-1356,17088
-372,-1472,17004
-456,-1420,17072
-476,-1556,17096
-476,-1592,17132
-484,-1656,17124
-480,-1716,17140
-364,-1748,17168
-348,-1632,17092
-400,-1640,17088
-348,-1536,17020
-284,-1424,16988
-344,-1300,16972
-396,-1396,17048
-416,-1184,17000
-412,-1460,16948
-316,-1772,17048
-560,-1544,17044
-540,-1648,17120
-572,-1632,17092
-568,-1708,17004
-572,-1692,17092
-516,-1576,17028
-348,-1528,16964
-372,-1408,17000
-336,-1192,16952
-412,-1188,17060
-456,-1248,16992
-400,-1316,17160
-420,-1428,17192
-364,-1652,16936
-532,-1648,17104
-488,-1752,17188
-480,-1864,17016
-504,-1768,17076
-456,-1692,17024
-468,-1440,17000
-452,-1552,17096
-376,-1384,17004
-324,-1216,16872
-312,-1208,16860
-284,-1228,17016
-336,-1316,17128
-480,-1448,17112
-424,-1592,17020
-460,-1708,17052
-456,-1804,17016
-496,-1852,16912
-412,-1816,17036
-420,-1772,17144
-428,-1644,17056
-392,-1532,16992
-452,-1500,16996
-392,-1568,17228
-392,-1460,17044
-432,-1520,17024
1432,-4312,16948
-460,-1448,17192
-652,-1072,17056
-228,-1284,17120
-548,-1256,17064
-240,-1676,17108
-128,-1816,17016
-412,-1756,17012
-336,-1556,16952
-492,-1220,17188
-860,-512,17112
-708,-968,17020
-420,-1388,17124
-2968,2296,18944
-468,-1492,16940
-356,-2524,17040
-600,-836,16860
-608,-1736,17064
-752,-1296,17336
-236,-2356,16704
-632,-1896,16756
-276,-1852,17052
-156,-1944,17204
-3928,-3788,15520
-284,-1848,17204
-608,-1440,16900
76,-1568,16256
-2064,-548,18740
-1544,-1416,18328
-544,-1952,17924
-604,-2268,16752
-732,-2084,17008
-724,-1736,17696
-644,-2276,16792
-592,-2776,17908
-1212,-1516,17948
-708,-1648,17404
-520,-1648,17252
-668,-1508,17248
-1012,-1260,17884
-504,-1244,16884
80,-1840,16828
1404,8876,21788
-3548,-4144,15720
-2576,244,16272
